user_id,survey_date,company_size,confusion_during_onboarding,feature_request,nps_score
USR00325,2024-11-17,100+,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,7
USR00326,2024-11-29,5-20,Show me what good looks like with samples,Needed examples or templates,7
USR00327,2024-11-04,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,7
USR00328,2024-11-21,5-20,Just sat there confused about what to put in,Didn't know what to create,5
USR00329,2024-11-08,5-20,Just sat there confused about what to put in,Didn't know what to create,6
USR00330,2024-11-21,100+,Need guidance on task structure,Unclear what tasks should look like,6
USR00331,2024-11-27,100+,Just sat there confused about what to put in,Didn't know what to create,5
USR00332,2024-11-11,5-20,No idea what my first task should be,Didn't know what to create,6
USR00333,2024-11-25,5-20,Unclear on the format for tasks,Unclear what tasks should look like,4
USR00334,2024-11-26,100+,Some examples would have been super helpful,Needed examples or templates,6
USR00335,2024-11-23,100+,What makes a good task vs a bad one?,Unclear what tasks should look like,6
USR00336,2024-11-26,5-20,No idea what my first task should be,Didn't know what to create,5
USR00337,2024-11-15,21-99,Just sat there confused about what to put in,Didn't know what to create,6
USR00338,2024-11-17,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,8
USR00339,2024-11-06,5-20,Unclear on the format for tasks,Unclear what tasks should look like,4
USR00340,2024-11-24,5-20,Show me what good looks like with samples,Needed examples or templates,6
USR00341,2024-11-27,100+,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,7
USR00342,2024-11-13,5-20,Wish there was some guidance on what to create,Didn't know what to create,5
USR00343,2024-11-30,5-20,No idea what my first task should be,Didn't know what to create,8
USR00344,2024-11-28,5-20,Would love to see templates for common use cases,Needed examples or templates,7
USR00345,2024-11-05,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,4
USR00346,2024-11-20,100+,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,6
USR00347,2024-11-29,21-99,Would love to see templates for common use cases,Needed examples or templates,8
USR00348,2024-11-21,5-20,Wish there was some guidance on what to create,Didn't know what to create,8
USR00349,2024-11-13,100+,Just sat there confused about what to put in,Didn't know what to create,8
USR00350,2024-11-26,5-20,Show me what good looks like with samples,Needed examples or templates,7
USR00351,2024-11-18,100+,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,7
USR00352,2024-11-22,21-99,What makes a good task vs a bad one?,Unclear what tasks should look like,8
USR00353,2024-11-05,5-20,Some examples would have been super helpful,Needed examples or templates,7
USR00354,2024-11-20,5-20,Some examples would have been super helpful,Needed examples or templates,4
USR00355,2024-11-22,100+,Just sat there confused about what to put in,Didn't know what to create,8
USR00356,2024-11-06,100+,Not sure what level of detail to use,Unclear what tasks should look like,8
USR00357,2024-11-11,5-20,Just sat there confused about what to put in,Didn't know what to create,5
USR00358,2024-11-19,5-20,Just sat there confused about what to put in,Didn't know what to create,8
USR00359,2024-11-25,21-99,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,6
USR00360,2024-11-15,21-99,"Coming from Asana, I expected some starter templates",Needed examples or templates,7
USR00361,2024-11-30,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,7
USR00362,2024-11-02,100+,Would love to see templates for common use cases,Needed examples or templates,5
USR00363,2024-11-09,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,4
USR00364,2024-11-12,5-20,Need guidance on task structure,Unclear what tasks should look like,7
USR00365,2024-11-03,5-20,Need guidance on task structure,Unclear what tasks should look like,7
USR00366,2024-11-06,5-20,Show me what good looks like with samples,Needed examples or templates,8
USR00367,2024-11-16,21-99,Wish there was some guidance on what to create,Didn't know what to create,8
USR00368,2024-11-29,21-99,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,6
USR00369,2024-11-03,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,7
USR00370,2024-11-26,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,4
USR00371,2024-11-28,5-20,Would love to see templates for common use cases,Needed examples or templates,4
USR00372,2024-11-18,5-20,Just sat there confused about what to put in,Didn't know what to create,8
USR00373,2024-11-24,5-20,Show me what good looks like with samples,Needed examples or templates,4
USR00374,2024-11-26,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,7
USR00375,2024-11-16,21-99,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,8
USR00376,2024-11-26,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,5
USR00377,2024-11-30,21-99,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00378,2024-11-25,5-20,No idea what my first task should be,Didn't know what to create,5
USR00379,2024-11-19,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,5
USR00380,2024-11-08,100+,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,4
USR00381,2024-11-10,21-99,Just sat there confused about what to put in,Didn't know what to create,4
USR00382,2024-11-06,5-20,Some examples would have been super helpful,Needed examples or templates,7
USR00383,2024-11-06,5-20,Expected some direction on where to start,Didn't know what to create,6
USR00384,2024-11-20,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,4
USR00385,2024-11-22,100+,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,8
USR00386,2024-11-23,21-99,The empty project was intimidating,Felt overwhelmed by blank canvas,8
USR00387,2024-11-21,21-99,What makes a good task vs a bad one?,Unclear what tasks should look like,6
USR00388,2024-11-27,21-99,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,6
USR00389,2024-11-28,5-20,No idea what my first task should be,Didn't know what to create,8
USR00390,2024-11-30,21-99,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,6
USR00391,2024-11-10,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,4
USR00392,2024-11-15,21-99,Need guidance on task structure,Unclear what tasks should look like,7
USR00393,2024-11-01,5-20,No idea what my first task should be,Didn't know what to create,4
USR00394,2024-11-28,5-20,No idea what my first task should be,Didn't know what to create,8
USR00395,2024-11-01,21-99,Expected some direction on where to start,Didn't know what to create,4
USR00396,2024-11-06,21-99,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,4
USR00397,2024-11-12,21-99,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,8
USR00398,2024-11-08,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,5
USR00399,2024-11-23,5-20,No idea what my first task should be,Didn't know what to create,4
USR00400,2024-11-29,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,7
USR00401,2024-11-15,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,8
USR00402,2024-11-29,21-99,What makes a good task vs a bad one?,Unclear what tasks should look like,4
USR00403,2024-11-04,21-99,Show me what good looks like with samples,Needed examples or templates,4
USR00404,2024-11-04,100+,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,7
USR00405,2024-11-24,5-20,Would love to see templates for common use cases,Needed examples or templates,6
USR00406,2024-11-04,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,5
USR00407,2024-11-14,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,5
USR00408,2024-11-02,100+,Wish there was some guidance on what to create,Didn't know what to create,5
USR00409,2024-11-21,100+,Not sure what level of detail to use,Unclear what tasks should look like,6
USR00410,2024-11-26,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,4
USR00411,2024-11-02,21-99,"Coming from Asana, I expected some starter templates",Needed examples or templates,4
USR00412,2024-11-17,5-20,Expected some direction on where to start,Didn't know what to create,6
USR00413,2024-11-14,100+,Just sat there confused about what to put in,Didn't know what to create,8
USR00414,2024-11-09,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,4
USR00415,2024-11-18,21-99,What makes a good task vs a bad one?,Unclear what tasks should look like,7
USR00416,2024-11-09,21-99,Expected some direction on where to start,Didn't know what to create,5
USR00417,2024-11-11,5-20,Not sure what level of detail to use,Unclear what tasks should look like,7
USR00418,2024-11-29,5-20,Expected some direction on where to start,Didn't know what to create,7
USR00419,2024-11-08,21-99,Show me what good looks like with samples,Needed examples or templates,4
USR00420,2024-11-04,21-99,Wish there was some guidance on what to create,Didn't know what to create,4
USR00421,2024-11-03,21-99,Blank slate made me anxious,Felt overwhelmed by blank canvas,4
USR00422,2024-11-14,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00423,2024-11-20,5-20,Wish there was some guidance on what to create,Didn't know what to create,4
USR00424,2024-11-13,5-20,Just sat there confused about what to put in,Didn't know what to create,6
USR00425,2024-11-28,21-99,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,4
USR00426,2024-11-22,5-20,Some examples would have been super helpful,Needed examples or templates,8
USR00427,2024-11-14,100+,Not sure what level of detail to use,Unclear what tasks should look like,5
USR00428,2024-11-29,100+,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,8
USR00429,2024-11-01,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,5
USR00430,2024-11-18,21-99,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,4
USR00431,2024-11-25,100+,Blank slate made me anxious,Felt overwhelmed by blank canvas,7
USR00432,2024-11-16,100+,Some examples would have been super helpful,Needed examples or templates,4
USR00433,2024-11-19,21-99,Just sat there confused about what to put in,Didn't know what to create,4
USR00434,2024-11-04,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00435,2024-11-14,5-20,Just sat there confused about what to put in,Didn't know what to create,7
USR00436,2024-11-25,21-99,How much info should a task have?,Unclear what tasks should look like,8
USR00437,2024-11-01,5-20,How much info should a task have?,Unclear what tasks should look like,6
USR00438,2024-11-15,5-20,Just sat there confused about what to put in,Didn't know what to create,5
USR00439,2024-11-11,21-99,Wish there was some guidance on what to create,Didn't know what to create,8
USR00440,2024-11-21,100+,Show me what good looks like with samples,Needed examples or templates,7
USR00441,2024-11-26,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,5
USR00442,2024-11-15,21-99,Wish there was some guidance on what to create,Didn't know what to create,7
USR00443,2024-11-29,21-99,Wish there was some guidance on what to create,Didn't know what to create,4
USR00444,2024-11-29,21-99,Some examples would have been super helpful,Needed examples or templates,7
USR00445,2024-11-07,100+,Blank slate made me anxious,Felt overwhelmed by blank canvas,8
USR00446,2024-11-10,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,8
USR00447,2024-11-18,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,6
USR00448,2024-11-05,21-99,Show me what good looks like with samples,Needed examples or templates,7
USR00449,2024-11-22,5-20,No idea what my first task should be,Didn't know what to create,7
USR00450,2024-11-08,5-20,How much info should a task have?,Unclear what tasks should look like,5
USR00451,2024-11-28,5-20,Just sat there confused about what to put in,Didn't know what to create,5
USR00452,2024-11-02,100+,Would love to see templates for common use cases,Needed examples or templates,6
USR00453,2024-11-25,5-20,No idea what my first task should be,Didn't know what to create,4
USR00454,2024-11-12,5-20,Wish there was some guidance on what to create,Didn't know what to create,5
USR00455,2024-11-28,5-20,Show me what good looks like with samples,Needed examples or templates,8
USR00456,2024-11-14,5-20,Wish there was some guidance on what to create,Didn't know what to create,7
USR00457,2024-11-02,5-20,Wish there was some guidance on what to create,Didn't know what to create,4
USR00458,2024-11-24,100+,Wish there was some guidance on what to create,Didn't know what to create,5
USR00459,2024-11-03,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,8
USR00460,2024-11-09,5-20,Some examples would have been super helpful,Needed examples or templates,6
USR00461,2024-11-06,21-99,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,6
USR00462,2024-11-06,100+,Show me what good looks like with samples,Needed examples or templates,4
USR00463,2024-11-29,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,4
USR00464,2024-11-30,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,5
USR00465,2024-11-29,5-20,Would love to see templates for common use cases,Needed examples or templates,8
USR00466,2024-11-20,100+,Just sat there confused about what to put in,Didn't know what to create,5
USR00467,2024-11-11,5-20,Need guidance on task structure,Unclear what tasks should look like,8
USR00468,2024-11-29,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,4
USR00469,2024-11-12,5-20,Just sat there confused about what to put in,Didn't know what to create,6
USR00470,2024-11-26,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00471,2024-11-08,100+,How much info should a task have?,Unclear what tasks should look like,5
USR00472,2024-11-02,5-20,Show me what good looks like with samples,Needed examples or templates,5
USR00473,2024-11-09,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,4
USR00474,2024-11-24,5-20,Just sat there confused about what to put in,Didn't know what to create,6
USR00475,2024-11-29,100+,Some examples would have been super helpful,Needed examples or templates,5
USR00476,2024-11-10,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00477,2024-11-21,5-20,Show me what good looks like with samples,Needed examples or templates,7
USR00478,2024-11-04,100+,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,7
USR00479,2024-11-08,100+,Would love to see templates for common use cases,Needed examples or templates,4
USR00480,2024-11-17,21-99,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00481,2024-11-03,100+,"Coming from Asana, I expected some starter templates",Needed examples or templates,8
USR00482,2024-11-01,5-20,Unclear on the format for tasks,Unclear what tasks should look like,4
USR00483,2024-11-05,21-99,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,4
USR00484,2024-11-30,5-20,Just sat there confused about what to put in,Didn't know what to create,5
USR00485,2024-11-18,100+,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,5
USR00486,2024-11-21,5-20,Not sure what level of detail to use,Unclear what tasks should look like,8
USR00487,2024-11-13,100+,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,8
USR00488,2024-11-10,5-20,Just sat there confused about what to put in,Didn't know what to create,8
USR00489,2024-11-13,100+,"Coming from Asana, I expected some starter templates",Needed examples or templates,5
USR00490,2024-11-02,21-99,Wish there was some guidance on what to create,Didn't know what to create,6
USR00491,2024-11-05,5-20,Just sat there confused about what to put in,Didn't know what to create,5
USR00492,2024-11-27,5-20,Expected some direction on where to start,Didn't know what to create,7
USR00493,2024-11-03,100+,Would love to see templates for common use cases,Needed examples or templates,8
USR00494,2024-11-23,100+,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,6
USR00495,2024-11-15,100+,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,7
USR00496,2024-11-23,21-99,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,6
USR00497,2024-11-11,5-20,Show me what good looks like with samples,Needed examples or templates,8
USR00498,2024-11-28,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00499,2024-11-10,21-99,Expected some direction on where to start,Didn't know what to create,5
USR00500,2024-11-20,5-20,The empty project was intimidating,Felt overwhelmed by blank canvas,6
USR00501,2024-11-01,21-99,Would love to see templates for common use cases,Needed examples or templates,6
USR00502,2024-11-26,5-20,No idea what my first task should be,Didn't know what to create,8
USR00503,2024-11-12,100+,Some examples would have been super helpful,Needed examples or templates,7
USR00504,2024-11-23,5-20,Would love to see templates for common use cases,Needed examples or templates,6
USR00505,2024-11-10,100+,Just sat there confused about what to put in,Didn't know what to create,6
USR00506,2024-11-28,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,4
USR00507,2024-11-17,5-20,Would love to see templates for common use cases,Needed examples or templates,7
USR00508,2024-11-10,100+,Need guidance on task structure,Unclear what tasks should look like,4
USR00509,2024-11-29,100+,Wish there was some guidance on what to create,Didn't know what to create,4
USR00510,2024-11-17,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,6
USR00511,2024-11-13,5-20,Wish there was some guidance on what to create,Didn't know what to create,5
USR00512,2024-11-16,100+,Just sat there confused about what to put in,Didn't know what to create,7
USR00513,2024-11-30,100+,Blank slate made me anxious,Felt overwhelmed by blank canvas,7
USR00514,2024-11-29,5-20,Unclear on the format for tasks,Unclear what tasks should look like,8
USR00515,2024-11-26,100+,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,6
USR00516,2024-11-03,5-20,Need guidance on task structure,Unclear what tasks should look like,6
USR00517,2024-11-14,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,4
USR00518,2024-11-22,5-20,No idea what my first task should be,Didn't know what to create,5
USR00519,2024-11-28,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,8
USR00520,2024-11-09,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,6
USR00521,2024-11-29,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,7
USR00522,2024-11-09,21-99,No idea what my first task should be,Didn't know what to create,8
USR00523,2024-11-11,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00524,2024-11-09,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,5
USR00525,2024-11-10,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,7
USR00526,2024-11-29,5-20,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,6
USR00527,2024-11-03,21-99,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,7
USR00528,2024-11-13,100+,Wish there was some guidance on what to create,Didn't know what to create,7
USR00529,2024-11-03,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,4
USR00530,2024-11-09,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00531,2024-11-26,5-20,Just sat there confused about what to put in,Didn't know what to create,4
USR00532,2024-11-03,5-20,Some examples would have been super helpful,Needed examples or templates,5
USR00533,2024-11-15,5-20,Just sat there confused about what to put in,Didn't know what to create,6
USR00534,2024-11-20,21-99,Overwhelmed by the lack of structure,Felt overwhelmed by blank canvas,4
USR00535,2024-11-10,5-20,Not sure what level of detail to use,Unclear what tasks should look like,7
USR00536,2024-11-03,100+,No idea what my first task should be,Didn't know what to create,5
USR00537,2024-11-27,21-99,Wish there was some guidance on what to create,Didn't know what to create,6
USR00538,2024-11-10,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,7
USR00539,2024-11-21,100+,No idea what my first task should be,Didn't know what to create,4
USR00540,2024-11-21,21-99,Just sat there confused about what to put in,Didn't know what to create,8
USR00541,2024-11-18,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,4
USR00542,2024-11-19,5-20,Some examples would have been super helpful,Needed examples or templates,7
USR00543,2024-11-15,100+,Just sat there confused about what to put in,Didn't know what to create,6
USR00544,2024-11-25,100+,Wish there was some guidance on what to create,Didn't know what to create,6
USR00545,2024-11-11,21-99,Expected some direction on where to start,Didn't know what to create,4
USR00546,2024-11-20,5-20,Unclear on the format for tasks,Unclear what tasks should look like,5
USR00547,2024-11-12,21-99,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,5
USR00548,2024-11-13,100+,Would love to see templates for common use cases,Needed examples or templates,4
USR00549,2024-11-18,21-99,No idea what my first task should be,Didn't know what to create,5
USR00550,2024-11-21,21-99,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,6
USR00551,2024-11-21,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,7
USR00552,2024-11-01,5-20,Just sat there confused about what to put in,Didn't know what to create,5
USR00553,2024-11-26,21-99,"Coming from Asana, I expected some starter templates",Needed examples or templates,4
USR00554,2024-11-11,21-99,Blank slate made me anxious,Felt overwhelmed by blank canvas,6
USR00555,2024-11-27,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00556,2024-11-10,5-20,Wish there was some guidance on what to create,Didn't know what to create,5
USR00557,2024-11-15,100+,No idea what my first task should be,Didn't know what to create,8
USR00558,2024-11-10,5-20,Some examples would have been super helpful,Needed examples or templates,5
USR00559,2024-11-12,5-20,No idea what my first task should be,Didn't know what to create,6
USR00560,2024-11-17,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,5
USR00561,2024-11-12,5-20,Show me what good looks like with samples,Needed examples or templates,8
USR00562,2024-11-20,100+,Blank slate made me anxious,Felt overwhelmed by blank canvas,4
USR00563,2024-11-13,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00564,2024-11-09,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,6
USR00565,2024-11-14,5-20,No idea what my first task should be,Didn't know what to create,8
USR00566,2024-11-01,5-20,Wish there was some guidance on what to create,Didn't know what to create,5
USR00567,2024-11-10,100+,"Coming from Asana, I expected some starter templates",Needed examples or templates,6
USR00568,2024-11-09,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,8
USR00569,2024-11-19,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,4
USR00570,2024-11-04,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00571,2024-11-22,100+,"Coming from Asana, I expected some starter templates",Needed examples or templates,4
USR00572,2024-11-24,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,4
USR00573,2024-11-26,21-99,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00574,2024-11-08,5-20,Not sure what level of detail to use,Unclear what tasks should look like,5
USR00575,2024-11-04,5-20,Wish there was some guidance on what to create,Didn't know what to create,4
USR00576,2024-11-24,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00577,2024-11-29,5-20,Would love to see templates for common use cases,Needed examples or templates,7
USR00578,2024-11-12,5-20,Expected some direction on where to start,Didn't know what to create,5
USR00579,2024-11-28,5-20,Some examples would have been super helpful,Needed examples or templates,7
USR00580,2024-11-22,100+,Unclear on the format for tasks,Unclear what tasks should look like,4
USR00581,2024-11-14,100+,Show me what good looks like with samples,Needed examples or templates,4
USR00582,2024-11-12,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,6
USR00583,2024-11-27,5-20,Some examples would have been super helpful,Needed examples or templates,7
USR00584,2024-11-18,100+,Need guidance on task structure,Unclear what tasks should look like,5
USR00585,2024-11-14,21-99,Some examples would have been super helpful,Needed examples or templates,4
USR00586,2024-11-11,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00587,2024-11-04,21-99,Expected some direction on where to start,Didn't know what to create,6
USR00588,2024-11-14,21-99,Wish there was some guidance on what to create,Didn't know what to create,4
USR00589,2024-11-17,5-20,Some examples would have been super helpful,Needed examples or templates,4
USR00590,2024-11-19,5-20,What makes a good task vs a bad one?,Unclear what tasks should look like,8
USR00591,2024-11-15,100+,Some examples would have been super helpful,Needed examples or templates,8
USR00592,2024-11-16,5-20,Show me what good looks like with samples,Needed examples or templates,8
USR00593,2024-11-21,100+,The empty project was intimidating,Felt overwhelmed by blank canvas,8
USR00594,2024-11-14,21-99,Just sat there confused about what to put in,Didn't know what to create,4
USR00595,2024-11-09,100+,Would love to see templates for common use cases,Needed examples or templates,5
USR00596,2024-11-25,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00597,2024-11-09,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,5
USR00598,2024-11-16,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,4
USR00599,2024-11-16,5-20,Need guidance on task structure,Unclear what tasks should look like,4
USR00600,2024-11-19,100+,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,8
USR00601,2024-11-12,21-99,The empty project was intimidating,Felt overwhelmed by blank canvas,7
USR00602,2024-11-26,5-20,Just sat there confused about what to put in,Didn't know what to create,5
USR00603,2024-11-12,5-20,Wish there was some guidance on what to create,Didn't know what to create,7
USR00604,2024-11-15,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,5
USR00605,2024-11-25,100+,The empty project was intimidating,Felt overwhelmed by blank canvas,6
USR00606,2024-11-29,5-20,Not sure what level of detail to use,Unclear what tasks should look like,5
USR00607,2024-11-28,100+,No idea what my first task should be,Didn't know what to create,5
USR00608,2024-11-10,21-99,Blank slate made me anxious,Felt overwhelmed by blank canvas,7
USR00609,2024-11-07,100+,No idea what my first task should be,Didn't know what to create,6
USR00610,2024-11-27,5-20,Expected some direction on where to start,Didn't know what to create,5
USR00611,2024-11-01,21-99,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,8
USR00612,2024-11-11,5-20,How much info should a task have?,Unclear what tasks should look like,4
USR00613,2024-11-18,5-20,Not sure what level of detail to use,Unclear what tasks should look like,4
USR00614,2024-11-04,21-99,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00615,2024-11-16,21-99,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,7
USR00616,2024-11-14,5-20,Expected some direction on where to start,Didn't know what to create,6
USR00617,2024-11-16,5-20,No idea what my first task should be,Didn't know what to create,5
USR00618,2024-11-14,100+,"Coming from Asana, I expected some starter templates",Needed examples or templates,6
USR00619,2024-11-01,5-20,What makes a good task vs a bad one?,Unclear what tasks should look like,8
USR00620,2024-11-02,100+,Not sure what level of detail to use,Unclear what tasks should look like,5
USR00621,2024-11-16,5-20,No idea what my first task should be,Didn't know what to create,4
USR00622,2024-11-22,5-20,Blank slate made me anxious,Felt overwhelmed by blank canvas,5
USR00623,2024-11-28,100+,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00624,2024-11-21,5-20,"Too many options, didn't know where to start",Felt overwhelmed by blank canvas,4
USR00625,2024-11-12,5-20,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,7
USR00626,2024-11-26,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,6
USR00627,2024-11-05,5-20,Unclear on the format for tasks,Unclear what tasks should look like,8
USR00628,2024-11-20,5-20,Show me what good looks like with samples,Needed examples or templates,8
USR00629,2024-11-08,5-20,Not sure what level of detail to use,Unclear what tasks should look like,4
USR00630,2024-11-11,5-20,Some examples would have been super helpful,Needed examples or templates,7
USR00631,2024-11-14,5-20,Just sat there confused about what to put in,Didn't know what to create,4
USR00632,2024-11-14,100+,"Coming from Asana, I expected some starter templates",Needed examples or templates,5
USR00633,2024-11-17,21-99,What makes a good task vs a bad one?,Unclear what tasks should look like,4
USR00634,2024-11-27,5-20,Wish there was some guidance on what to create,Didn't know what to create,8
USR00635,2024-11-22,21-99,Show me what good looks like with samples,Needed examples or templates,6
USR00636,2024-11-19,21-99,Blank slate made me anxious,Felt overwhelmed by blank canvas,6
USR00637,2024-11-15,5-20,Felt lost staring at an empty screen,Felt overwhelmed by blank canvas,7
USR00638,2024-11-03,21-99,Need guidance on task structure,Unclear what tasks should look like,7
USR00639,2024-11-11,21-99,The empty project was intimidating,Felt overwhelmed by blank canvas,8
USR00640,2024-11-28,5-20,"Coming from Asana, I expected some starter templates",Needed examples or templates,7
USR00641,2024-11-24,5-20,No idea what my first task should be,Didn't know what to create,8
USR00642,2024-11-23,100+,Need guidance on task structure,Unclear what tasks should look like,5
USR00643,2024-11-13,21-99,"Coming from Asana, I expected some starter templates",Needed examples or templates,4
USR00644,2024-11-05,21-99,Wish there were example tasks so I could see what a good task looks like,Needed examples or templates,8
USR00645,2024-11-25,5-20,I signed up but stared at the empty project for 5 minutes not knowing what to do,Didn't know what to create,8
USR00646,2024-11-16,5-20,What makes a good task vs a bad one?,Unclear what tasks should look like,5
USR00647,2024-11-01,21-99,How much info should a task have?,Unclear what tasks should look like,5
USR00648,2024-11-18,21-99,How much info should a task have?,Unclear what tasks should look like,4
USR00649,2024-11-25,100+,Some examples would have been super helpful,Needed examples or templates,7
